fecha,nombre,url,miembros,estado
2026-04-18,"Cubanos en Ohio-1","https://www.facebook.com/groups/526380219975366/",,sin_miembros
2026-04-18,"Cubanos en Katy Texas-1","https://www.facebook.com/groups/497862709831151/",,sin_miembros
2026-04-18,"Cubanos en Mexico-2","https://www.facebook.com/groups/481233711027273/",,sin_miembros
2026-04-18,"Reservas Vuelos Cuba - Uruguay","https://www.facebook.com/groups/480678754379552/",,sin_miembros
2026-04-18,"Cubanos en Ottawa Canadá-1","https://www.facebook.com/groups/449814127723696/",,sin_miembros
2026-04-18,"Envíos a Cuba desde Houston","https://www.facebook.com/groups/440364635656790/",,sin_miembros
2026-04-18,"Cubanos en Houston-2","https://www.facebook.com/groups/434744529655372/",,sin_miembros
2026-04-18,"Bueno Bonito Barato Santiago de Cuba","https://www.facebook.com/groups/419935192381004/",,sin_miembros
2026-04-18,"Cubanos en Canadá-1","https://www.facebook.com/groups/cubanosencanada1/",,sin_miembros
2026-04-18,"REVOLICO SANTA CLARA","https://www.facebook.com/groups/revolicosantaclara1/",,sin_miembros
2026-04-18,"Compra y venta Revolico Santiago de Cuba","https://www.facebook.com/groups/372602027276911/",,sin_miembros
2026-04-18,"Cubanos en Texas-1","https://www.facebook.com/groups/cubanosentexas1/",,sin_miembros
2026-04-18,"REVOLICO COMPRA VENTA HOLGUÍN","https://www.facebook.com/groups/revolicocompraventaholguin/",,sin_miembros
2026-04-18,"Cubanos en Las Vegas-1","https://www.facebook.com/groups/cubanosenlasvegas1/",,sin_miembros
2026-04-18,"Cubanos en Florida-2","https://www.facebook.com/groups/cubanosenflorida2/",,sin_miembros
2026-04-18,"Reservas Vuelos Cuba - Rep. Dominicana","https://www.facebook.com/groups/325210957300002/",,sin_miembros
2026-04-18,"Cubanos en Houston-1","https://www.facebook.com/groups/cubanosenhouston1/",,sin_miembros
2026-04-18,"Cubanos en Miami-1","https://www.facebook.com/groups/285484860940817",,sin_datos
2026-04-18,"Cubanos en Kentucky-1","https://www.facebook.com/groups/cubanosenkentucky1/",,sin_miembros
2026-04-18,"Revolico Habana (ventas)","https://www.facebook.com/groups/249366053545622/",,sin_miembros
2026-04-18,"COMPRA Y VENTA EN CIENFUEGOS","https://www.facebook.com/groups/revolicocienfuegos1/",,sin_miembros
2026-04-18,"Reservas Vuelos Cuba - Uruguay 2","https://www.facebook.com/groups/2261107397601516/",,sin_miembros
2026-04-18,"Reservas Vuelos Cuba - Brasil","https://www.facebook.com/groups/2163845177296476/",,sin_miembros
2026-04-18,"Reservas Vuelos Cuba - Guyana 3","https://www.facebook.com/groups/1760352071445266/",,sin_miembros
2026-04-18,"Envíos a Cuba desde Kentucky","https://www.facebook.com/groups/1710976649688975/",,sin_miembros
2026-04-18,"Cubanos en Kentucky-2","https://www.facebook.com/groups/1704354747044774/",,sin_miembros
2026-04-18,"Cubanos en Montreal Canadá-1","https://www.facebook.com/groups/1985567971886403/",,sin_miembros
